,city,lat,lon,temp,wind_speed,humidity %,cloudiness %
164,Chapais,49.78,-74.86,51.8,0.2,87,1
165,Isangel,-19.55,169.27,75.2,8.05,53,75
166,Kaitangata,-46.28,169.85,50.0,8.99,74,100
167,Xinye,32.53,112.36,86.63,9.01,54,31
168,Karratha,-20.74,116.85,84.75,1.77,15,10
169,Boguchany,58.38,97.46,55.43,4.32,95,100
170,Rurrenabaque,-14.44,-67.53,71.29,3.27,53,100
171,Nishihara,35.74,139.53,86.41,5.82,62,20
172,Qaanaaq,77.48,-69.36,35.52,12.73,76,100
173,Jinxiang,35.07,116.31,80.2,7.45,58,80
174,San Antonio,-33.58,-71.61,48.2,3.36,100,81
175,Mansa,23.43,72.66,80.6,6.93,83,75
176,Great Yarmouth,52.61,1.73,56.62,1.12,100,68
177,Paamiut,61.99,-49.67,41.88,20.62,85,0
178,Port Hedland,-20.31,118.58,84.2,10.29,32,0
179,Victoria,5.28,115.24,88.38,3.36,70,75
180,Naze,5.43,7.07,71.69,0.94,96,100
181,Itaituba,-4.26,-55.99,74.82,2.48,73,67
182,Ixtapa,20.71,-105.21,85.53,9.33,84,75
183,Tiksi,71.64,128.87,49.02,13.35,88,94
184,Longyearbyen,78.22,15.63,37.4,8.05,90,75
185,Pudozh,61.81,36.54,46.68,4.47,98,25
186,Zlynka,52.43,31.74,55.4,2.24,93,4
187,Egvekinot,66.32,-179.17,59.64,5.66,53,68
188,Tual,-5.67,132.75,76.04,15.66,81,99
189,Havoysund,71.0,24.66,42.8,13.87,75,0
190,Salinas,36.67,-121.66,65.35,5.82,77,1
191,Grootfontein,-19.56,18.1,43.89,6.15,20,0
192,Sisimiut,66.94,-53.67,42.87,18.28,71,35
193,Cananeia,-25.01,-47.93,58.56,2.06,90,57
194,Uthal,25.81,66.62,82.34,4.79,75,73
195,Sinjar,35.59,37.0,74.78,7.58,52,0
196,Ramhormoz,31.28,49.6,84.59,1.79,32,0
197,Trinidad,-14.83,-64.9,76.31,2.57,41,0
198,Leningradskiy,69.38,178.42,42.51,8.25,87,76
199,Ola,59.58,151.3,54.06,10.2,85,98
200,Keflavik,64.0,-22.56,49.26,6.93,81,90
201,Aguining,10.09,124.59,85.94,4.38,63,53
202,Manta,45.1,24.1,67.83,4.61,54,0
203,Port Arthur,29.9,-93.93,78.82,3.36,100,1
204,Sao Joao da Barra,-21.64,-41.05,62.63,3.11,94,19
